c_n p_p, c_n p_m, c_n p_g, p_m c_p, p_m c_n, p_m c_m
2855388,2855388,2855388,741492,2855388,10232052
2855388,2855388,2855388,741492,2855388,10232052
2855388,2855388,2855388,741492,2855388,10232052
2855388,2855388,2855388,741492,2855388,10232052
2855388,2855388,2855388,741492,2855388,10232052
2855388,2855388,2855388,741492,2855388,10232052
2855388,2855388,2855388,741492,2855388,10232052
2855388,2855388,2855388,741492,2855388,10232052
2855388,2855388,2855388,741492,2855388,10232052
2855388,2855388,2855388,741492,2855388,10232052
7377148,7377148,7377148,741268,7377148,24911892
7377148,7377148,7377148,741268,7377148,24911892
7377148,7377148,7377148,741268,7377148,24911892
7377148,7377148,7377148,741268,7377148,24911892
7377148,7377148,7377148,741268,7377148,24911892
7377148,7377148,7377148,741268,7377148,24911892
7377148,7377148,7377148,741268,7377148,24911892
7377148,7377148,7377148,741268,7377148,24911892
7377148,7377148,7377148,741268,7377148,24911892
7377148,7377148,7377148,741268,7377148,24911892
4952544,4952544,4952544,741496,4952544,12329208
4952544,4952544,4952544,741496,4952544,12329208
4952544,4952544,4952544,741496,4952544,12329208
4952544,4952544,4952544,741496,4952544,12329208
4952544,4952544,4952544,741496,4952544,12329208
4952544,4952544,4952544,741496,4952544,12329208
4952544,4952544,4952544,741496,4952544,12329208
4952544,4952544,4952544,741496,4952544,12329208
4952544,4952544,4952544,741496,4952544,12329208
4952544,4952544,4952544,741496,4952544,12329208
